(34.4413,0)
(89.0756,37.3296)
(-52.6104,-17.927)
(17.2257,31.7725)
(13.5442,-18.263)
(-21.5476,17.8007)
(-0.298631,20.9937)
(-3.31176,5.24713)
(-8.13407,-17.1699)
(-9.32151,6.2916)
(-1.59324,-3.43783)
(-1.82692,-2.70372)
(-1.36729,-1.38536)
(-0.770807,-1.75429)
(0.459127,-1.73409)
(2.24489,-0.797145)
(-1.67355,-2.1981)
(-0.47685,-2.45986)
(3.96384,-9.06433)
(-0.91693,0.598865)
(-1.01034,-0.187263)
(-0.722639,-0.487252)
(-0.387026,-0.40893)
(-1.00581,-0.3334)
(-0.960224,-0.815775)
(-0.362464,-0.526472)
(-0.436824,-0.398826)
(-1.18871,-0.809042)
(-0.196871,-0.227629)
(-0.308113,-0.542737)
(-0.402986,-0.496611)
(-0.302528,-0.597093)
(-0.121951,-0.155299)
(0.065657,-0.473151)
(-0.181519,-0.235446)
(-0.100853,-0.399844)
(-0.284369,-0.612081)
(-0.0728342,-0.262425)
(-0.0285495,-0.531911)
(-0.178252,-0.106905)
(-0.227362,-0.200643)
(-0.148306,-0.173221)
(-0.207143,-0.354705)
(-0.0323607,-0.145148)
(-0.229535,-0.164691)
(-0.265803,-0.259502)
(0.275309,-0.291513)
(-0.0449852,-0.290552)
(-0.0825116,-0.304121)
(0.0767601,-0.217834)
(0.170145,-0.459934)
(-0.0789654,-0.180222)
(-0.149369,-0.225483)
(-0.124709,-0.157987)
(-0.159566,-0.125189)
(0.378142,-0.222554)
(0.0106102,-0.288655)
(-0.000518231,-0.214824)
(0.0302074,-0.26557)
(0.0827352,-0.392075)
(-0.0619913,-0.170311)
(-0.0524978,-0.316037)
(0.0102388,-0.17723)
(0.017582,-0.166748)
(0.164829,-0.140094)
(0.0146662,-0.165173)
(0.0430591,-0.160601)
(0.104911,-0.175408)
(0.00589175,-0.134608)
(0.0231514,-0.136447)
(-0.15581,-0.280091)
(-0.0437865,-0.166837)
(-0.0113961,-0.141652)
(-0.0945981,-0.0983025)
(-0.0254433,-0.29117)
(-0.0103824,-0.19971)
(-0.0391595,-0.267597)
(0.0787143,-0.0459006)
(-0.171893,-0.0662343)
(-0.0701964,-0.132049)
(0.0252188,-0.164634)
(-0.0187159,-0.117356)
(0.144623,0.0472019)
(0.035476,-0.103103)
(0.0146955,-0.147259)
(-0.0773183,-0.128077)
(0.103327,-0.141673)
(0.0328521,-0.151993)
(-0.0137573,-0.166536)
(0.0340794,-0.116667)
(-0.00831178,-0.1626)
(0.0548732,-0.0346312)
(0.0539845,-0.131484)
(0.0721363,-0.114079)
(-0.0415065,-0.0900947)
(-0.0170182,-0.11121)
(0.00218266,-0.10223)
(0.00613899,-0.110139)
(0.0293665,-0.10799)
(-0.00418396,-0.139199)
(0.0367645,-0.144112)
(0.00453543,-0.137144)
(0.0184009,-0.121487)
(-0.00929765,-0.0967802)
(-0.00309658,-0.103841)
(0.0379736,-0.141889)
(0.0333015,-0.127006)
(0.0645992,-0.144297)
(5.20833e-05,-0.113747)
(0.0149367,-0.134145)
(0.000855378,-0.091025)
(0.00242558,-0.0818171)
(0.0115493,-0.0948304)
(0.0310516,-0.130768)
(0.0149128,-0.115723)
(0.0629425,-0.10345)
(0.0547074,-0.0859215)
(0.132649,-0.123667)
(-0.0462292,-0.12384)
(0.0615419,-0.0735987)
(0.0410628,-0.102685)
(0.0430698,-0.0865853)
(0.0267185,-0.101077)
(0.0432409,-0.0911967)
(-0.0160481,-0.0888765)
(0.0141051,-0.0929657)
(0.0281301,-0.0840414)
(0.0131573,-0.0925685)
(0.0137948,-0.100203)
(0.0172339,-0.107259)
(0.0176576,-0.094042)
(0.0242571,-0.0754138)
(0.0301919,-0.0776928)
(0.0261319,-0.0925868)
(0.0341874,-0.0859058)
(0.0293853,-0.0797248)
(0.0292395,-0.0649149)
(0.0252425,-0.0964374)
(0.0139467,-0.103708)
(0.0276687,-0.072325)
(0.0266909,-0.0815449)
(0.0275669,-0.0847943)
(0.0223618,-0.0841417)
(0.0401274,-0.0762591)
(0.0314061,-0.0973584)
(0.0228764,-0.0830385)
(0.0368021,-0.127714)
(0.0351805,-0.065828)
(0.0322715,-0.0674306)
(0.0457127,-0.0718067)
(0.0234468,-0.0810367)
(0.0306856,-0.081381)
(0.0260985,-0.0834924)
(0.0227223,-0.0693922)
(0.00291634,-0.0984705)
(0.0307481,-0.0733324)
(0.0404221,-0.0751314)
(0.0295825,-0.0774304)
(0.0185611,-0.0756149)
(0.0361255,-0.0793057)
(0.0284078,-0.0811153)
(0.045033,-0.0821011)
(0.00920921,-0.064409)
(0.0214484,-0.0500212)
(0.0245665,-0.0563237)
(0.0290327,-0.0664914)
(0.0266384,-0.0657105)
(0.0205415,-0.0629076)
(0.0243221,-0.0600148)
(0.0260684,-0.0710362)
(0.0430568,-0.0483026)
(0.0255795,-0.0500589)
(0.0282323,-0.0713135)
(0.0329123,-0.0612438)
(0.0312917,-0.0533356)
(0.0242254,-0.0486212)
(0.0243998,-0.0526243)
(0.056763,-0.0261251)
(0.0312095,-0.0698541)
(0.0180526,-0.0609999)
(0.0147766,-0.0490924)
(0.0262984,-0.0442022)
(0.00743591,-0.0322751)
(0.0582817,-0.0889385)
(0.0344426,-0.0619289)
(0.0289997,-0.0371826)
(0.0469716,-0.0623981)
(0.0315139,-0.0527204)
(0.0316691,-0.0547355)
(0.0219752,-0.0494706)
(0.047597,-0.052892)
(0.037025,-0.0637075)
(0.0364244,-0.061361)
(0.0236191,-0.05472)
(0.031015,-0.0586438)
(0.0297724,-0.0586503)
(0.0326406,-0.0620051)
(0.0289835,-0.0536124)
(0.0370586,-0.0520929)
(0.0381235,-0.0488251)
(0.0297377,-0.0495658)
(0.0330778,-0.0505939)
(0.0326492,-0.0466632)
(0.0342218,-0.0763642)
(0.0281557,-0.0494645)
(0.0272232,-0.0582524)
(0.0255355,-0.0532835)
(0.0338827,-0.0587331)
(0.0223631,-0.0573841)
(0.0530774,-0.0291565)
(-0.00262037,-0.0787832)
(0.0290189,-0.0601627)
(0.0332468,-0.0519554)
(0.0275454,-0.0460358)
(0.027859,-0.0468322)
(0.0180122,-0.0443942)
(0.0200554,-0.0299198)
(0.0441058,-0.0753948)
(0.0354335,-0.0561707)
(0.0318891,-0.0568521)
(0.0371768,-0.04602)
(0.0279077,-0.0472713)
(0.0429928,-0.0558118)
(0.034997,-0.0499717)
(0.0262997,-0.0600744)
(0.0446883,-0.0450086)
(0.0319327,-0.0493729)
(0.038712,-0.0451541)
(0.0301466,-0.0430104)
(0.0316126,-0.04826)
(0.0398822,-0.0489526)
(0.0236583,-0.0457282)
(0.0295373,-0.0489246)
(0.0422835,-0.0499746)
(0.0310578,-0.0480284)
(0.0377891,-0.0470185)
(0.0334391,-0.0436399)
(0.0397565,-0.0475041)
(0.0258136,-0.0501597)
(0.0319104,-0.035017)
(0.0371968,-0.0483031)
(0.0402166,-0.0418798)
(0.0319973,-0.0448301)
(0.0335741,-0.0421725)
(0.0324692,-0.0362979)
(0.0319716,-0.0387576)
(0.035907,-0.0504199)
(0.0307636,-0.0386415)
(0.0341675,-0.0460641)
(0.0290447,-0.0462791)
(0.0333978,-0.0409736)
(0.0280943,-0.0422401)
(0.0354898,-0.0356364)
(0.0379019,-0.0387945)
(0.0384755,-0.0385494)
(0.0299463,-0.0446177)
(0.0334015,-0.0407715)
(0.0281878,-0.0447187)
(0.0298796,-0.0414896)
